sachtrongnuoc,nhom,theloai,danhsach,hinhanh,tensach,tacgia,nxb,namxb,hinhthuc,mota,giaban,giamgia,sodanhgia,sobinhchon
Sách Trong Nước,Văn học,Tiểu thuyết,Bàn Có 5 Chỗ Ngồi (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180164_2_305.jpg,Bàn Có 5 Chỗ Ngồi (Tái Bản 2018),Nguyễn Nhật Ánh,NXB Trẻ,2018,Bìa Mềm,"Tác giả quen thuộc của thiếu nhi, của tuổi ô mai. Những tập truyện của anh luôn dí dỏm, hài hước, đem lại nhiều cảm xúc, nhiều bài học nhẹ nhàng cho lứa tuổi học trò. Hãy đọc để cùng gặp những nhân vật rất dễ thương, hoặc phải vượt qua những hoàn cảnh khó khăn, hoặc sẵn lòng chia sẻ với bạn bè, người thân… Thậm chí cả những nhân vật tạm gọi là “phe xấu” với nhiều trò đùa nghịch… cũng mang dáng dấp hồn nhiên. Tất cả hướng về CHÂN – THIỆN – MỸ. Họ là năm người bạn với năm cá tính và hoàn cảnh khác nhau cùng chung trong một lớp học. Những trò nghịch ngợm trẻ con đôi khi gây ra mâu thuẫn, nhưng trên tất cả đó là những đứa trẻ ham học, giàu lòng nhân ái và biết quan tâm đến bạn bè. Cảm thông với hoàn cảnh của nhau, từng bạn nghĩ ra cách giúp đỡ bạn mình theo khả năng để tình bạn ấy lớn dần theo năm tháng.",44.550 đ,-19%,(37 đánh giá),0
Sách Trong Nước,Văn học,12 Cung Hoàng Đạo,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Bạch Dương (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_186566.jpg,Giải Mã 12 Chòm Sao - Khám Phá Tất Tần Tật Cung Bạch Dương (Tái Bản 2019),Nhiều Tác Giả,NXB Kim Đồng,2019,Bìa Mềm,"Cùng nhau bước vào hành trình khám phá:

- Những điều cực thú vị về tính cách tiềm ẩn của bạn.

- Hiểu hơn về sở thích, ưu điểm, nhược điểm của bản thân.

- Hoàn thiện mình bằng cách phát huy các thế mạnh sẵn có của mỗi cung tuổi và khắc phục những điểm yếu trong tính cách của mình.

- Gỡ rối những xích mích với bạn bè và gà bông.

- Nhận ra những tố chất của bản thân, giúp có những lựa chọn nghề nghiệp, công việc phù hợp.",17.100 đ,-10%,(0 đánh giá),0
Sách Trong Nước,Văn học,Tiểu thuyết,Chú Bé Mang Pyjama Sọc (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/g/n/gnm1kw8i.u547.d20160719.t103051.jpg,Chú Bé Mang Pyjama Sọc (Tái Bản 2018),John Boyne,NXB Hội Nhà Văn,2018,Bìa Mềm,"Chú Bé Mang Pyjama Sọc (Tái Bản 2018) 
Rất khó miêu tả câu chuyện về Chú bé mang pyjama sọc này. Thường thì chúng tôi vẫn tiết lộ vài chi tiết về cuốn sách trên bìa, nhưng trong trường hợp này chúng tôi nghĩ làm như vậy sẽ làm hỏng cảm giác đọc của bạn. Chúng tôi nghĩ điều quan trọng là bạn nên đọc mà không biết trước nó kể về điều gì.Nếu bạn định bắt đầu đọc cuốn sách thật, bạn sẽ cùng được trải qua một hành trình với một cậu bé chín tuổi tên là Bruno (dù đây không hẳn là sách cho trẻ chín tuổi). Và chẳng sớm thì muộn bạn sẽ cùng Bruno đến một hàng rào. Những hàng rào như vậy vẫn tồn tại ở khắp nơi trên thế giới. Chúng tôi hy vọng không ai trong chúng ta phải vượt qua một hàng rào như vậy trong đời.",54.400 đ,-20%,(69 đánh giá),29404
Sách Trong Nước,Văn học,Thể loại khác,Chó Dẫn Đường Phiêu Lưu Ký,null,null,null,null,null,null,null,64.000 đ,null,null,null
Sách Trong Nước,Văn học,Truyện Trinh Thám - Kiếm Hiệp,Vụ Án Mạng Ở Nhà Khách Núi Hakuba,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_220301.jpg,Vụ Án Mạng Ở Nhà Khách Núi Hakuba,Higashino Keigo,NXB Hà Nội,2020,Bìa Mềm,"Mùa đông một năm trước, người anh trai tên Koichi đã tự sát, để lại một tấm bưu thiếp với câu hỏi: “Mẹ Maria về nhà khi nào?”

Naoko, cô em gái đang là sinh viên đại học, vẫn luôn ôm mối hoài nghi về cái chết của anh trai. Cô cùng người bạn thân Makoto của mình đến thăm nhà khách “Mẹ Ngỗng” ở núi Hakuba thuộc tỉnh Nagano, nơi anh mình đã qua đời. Lạ lùng thay, nhà khách lại đón tiếp những vị khách quen thuộc hệt như một năm trước đó. Bí mật nào đang ẩn nấp sau những bài đồng dao Mẹ Ngỗng trong mỗi căn phòng? Quá khứ nào đang được giấu kín trong nhà khách?

Một kiệt tác trinh thám về mật mã và phòng kín.

TÁC GIẢ:

Higashino Keigo sinh năm 1958 tại Osaka, là nhà văn trinh thám hàng đầu hiện nay tại Nhật Bản. Năm 1985, Higashino Keigo giành được giải Edogawa Rampo lần thứ 31 cho tác phẩm trinh thám hay nhất với tiểu thuyết Giờ tan học.

Các năm sau đó, Higashino Keigo liên tục được đề cử vô số giải thưởng văn học lớn. Năm 1999, ông đoạt giải Mystery Writers of Japan Inc với tiểu thuyết Bí mật của Naoko, và năm 2006, là giải Naoki lần thứ 134 cho Phía sau nghi can X.

Các tác phẩm khác của Higashino Keigo đã được Nhã Nam phát hành:

- Phía sau nghi can X

- Bí mật của Naoko

- Bạch dạ hành

- Điều kỳ diệu ở tiệm tạp hóa Namiya

- Hoa mộng ảo

- Ảo dạ

- Ma nữ của Laplace

- Phương trình hạ chí

- Sự cứu rỗi của Thánh nữ

- Ma thuật bị cấm

- Án mạng mười một chữ

- Vụ án mạng ở lữ quán Kairotei

- Trái tim của Brutus",117.300 đ,-15%,(0 đánh giá),29369
Sách Trong Nước,Văn học,Thể loại khác,Thời Thượng Tiên Sinh,null,null,null,null,null,null,null,96.600 đ,null,null,null
Sách Trong Nước,Văn học,Light Novel,Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 1,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/b/_/b_aotomegame.jpg,Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 1,Mishima Yomu,NXB Thế Giới,2020,Bìa Mềm,"Thế Giới Otomegame Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 1
Leon – một nhân viên công sở tại Nhật Bản bị chuyển sinh sang thế giới “Otome game” của kiếm và phép thuật. Cậu tuyệt vọng với thế giới trọng nữ khinh nam đó. Tại thế giới này, đàn ông chỉ như loài súc vật với nhiệm vụ duy nhất là cung phụng phái nữ. Chỉ có Hoàng thái tử cùng nhóm trai đẹp mà ngài dẫn đầu là ngoại lệ.
Trong thế giới phi lý này, Leon có một vũ khí. Đó chính là tri thức về trò chơi mà cậu bị cô em gái xấc láo ép phải chinh phục cho bằng được ở kiếp trước. Sử dụng tri thức ấy, Leon bất ngờ chống lại những cô gái thích gì làm nấy và đám trai đẹp.",101.600 đ,-20%,(15 đánh giá),29371
Sách Trong Nước,Văn học,Hài Hước - Truyện Cười,Tiếu Lâm Việt Nam Hay Nhất,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_190182.jpg,Tiếu Lâm Việt Nam Hay Nhất,Đức Anh,NXB Văn Hóa Thông Tin,2016,Bìa Mềm,Những câu chuyện tiếu lâm tuyển chọn trong kho tàng truyện cười của Việt Nam.Góc thư giãn dành cho mọi người.,28.000 đ,-20%,(0 đánh giá),0
Sách Trong Nước,Văn học,Du Ký,Vàng Son Một Thuở Ba Tư (Tập Du Ký),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_32905.jpg,Vàng Son Một Thuở Ba Tư (Tập Du Ký),NXB Tổng Hợp TPHCM,NXB Tổng Hợp TPHCM,2020,Bìa Mềm,"Bản năng sinh tồn của loài sinh vật hai chân quả thật kỳ vĩ dù bàn tay Thượng Đế cố tình đặt loài sinh vật nhỏ bé ấy vào trong những khối băng lạnh giá, cánh rừng già hoang vu hay đất đá khô khốc mùi hoang mạc. Bản năng sinh tồn ấy trỗi dậy để tìm lấy sự sống như cách ái phi Scheherazade đã kể cho vua Shahryar nghe những câu chuyện thần thoại và luôn kết thúc trong dở dang, gây tò mò khi ánh dương vừa ló rạng. Hàng đêm, khi ánh lửa liêu xiêu được thắp sáng trong cung điện, không gian nồng ấm mùi trầm Frankince, những xứ sở mới lạ hiện ra trong 1.001 câu chuyện thật sống động, lấp lánh sắc màu như suy nghĩ từ những người Hy Lạp đi trước mở đường, một phương Đông vô cùng huyền bí nhưng cũng là vùng đất đầy ma thuật, bùa ngải ẩn hiện vào những lọn tóc rắn của nữ quỷ Medusa...

Một vương triều Achaemenid của Đại đế Darius trỗi dậy từ thế kỷ 5 TCN quá hùng mạnh khiến người Hy Lạp không thể đặt chân đến Ba Tư khi họ luôn thất thủ tại eo biển Bophorus thuộc Thổ Nhĩ Kỳ ngày nay, trong khi đoàn quân thiện chiến Ba Tư liên tục vượt Địa Trung Hải mở những đợt vây hãm Hy Lạp. Nỗi buồn ghi thật sâu trong lòng những chiến binh Hy Lạp khi hoàng đế Ba Tư Xerxes I (519 - 465 TCN) đốt tan hoang pháo đài phòng thủ Acropolis ở thành Athen trong trận chiến mùa xuân 480 TCN. Khi trận chiến sống mái Plataea diễn ra năm 479 TCN đi qua, người Hy Lạp ca khúc khải hoàn bằng cây cột đồng dựng thẳng đứng và trên thân cột điêu khắc những con rắn ma quái phương Đông phủ phục và tôn vinh các vị thần của vùng đất Macedonia.

Không như nền văn minh Ai Cập với các vị thần hóa thân vào trong loài vật, Hy Lạp quá rực rỡ với các vị thần tuyệt đẹp đường nét bước ra từ bộ sử thi và là một trong những nền văn minh bản lề của phương Tây nên kẻ hậu bối như tôi chỉ nhớ đến công trạng hiển hách của Đại đế Alexandros của người Macedonia qua những trận chiến thần tốc khi ông xua đoàn quân thiện chiến về phương Đông. Tôi không biết được đại lộ giao thương Đông Tây từ đoạn Susa thuộc tỉnh Khuzestan - Iran đến Sardis - Thổ Nhĩ Kỳ ngày nay đã được Đại đế Darius xây dựng vào thế kỷ 5 TCN với tên gọi “Con đường Hoàng Gia”. Không còn huyền bí ma thuật như những lời đồn đãi, đoán mò của những người Hy Lạp trước đây, mà hành quân theo “Con đường Hoàng Gia” đã được người xưa thiết lập, Ba Tư trong ánh mắt của ông Alexandros vào thế kỷ 3 TCN là ngôi sao đích thực của mỹ thuật phương Đông với những đền đài lăng tẩm đẹp không sao tả xiết. Một nền văn minh rực rỡ của nhân loại được hỏa thần Ahura Mazda và nữ thủy thần Anahita ươm mầm sống trong lòng sa mạc rộng lớn.

Thuở bé thơ sống trong những câu chuyện cổ tích, tập truyện Ngàn lẻ một đêm được viết từ kinh đô Baghdad – Iraq dẫn lối tôi vào vương quốc thần tiên. Lớn hơn một chút, những áng thơ của các đại văn hào Ba Tư trong thời Trung cổ lại ru lứa tuổi mộng mơ vào giấc ngủ nên thơ. Và cho đến một ngày tâm hồn chuyển qua đam mê kiến trúc mỹ thuật, Ba Tư lại cuốn hút tôi bằng những viên gạch men nền nã được ốp trên những mái vòm hay các cổng chào theo nghệ thuật tổ ong. Một vài người bạn đồng hành nói rằng: “Ba Tư vẫn huyền thoại như những tác phẩm văn học cổ có sức ảnh hưởng rộng lớn trên vùng đất Nam - Trung - Tiểu Á và trên những vùng đất ấy vẫn còn giữ lại những phong tục cổ truyền của người xưa. Ba Tư vẫn long lanh nét đẹp phương Đông khi các kiến trúc sư phương Tây vay mượn mái vòm Ba Tư và nghệ thuật sân vườn để thiết kế những công trình lớn trên lục địa già cỗi, dù co cụm về lãnh thổ nhưng vẫn oai hùng một thuở khi rất ít vó ngựa viễn chinh từ bên kia Địa Trung Hải có thể băng ngang qua được vùng đất Ba Tư...”

Trong dòng chảy hiện đại, Ba Tư vẫn huyền bí đến mơ hồ khi tôi đọc qua các bản tin trên phương tiện truyền thông quốc tế.

Trỗi dậy từ bán đảo Tây Á vào thế kỷ 7, các vị vua Hồi chọn Ba Tư đầu tiên để truyền bá tôn giáo bởi ánh vàng son của vương quốc ấy có sức ảnh hưởng rộng khắp trên vùng đất châu Á.

Bước chân qua một vài vùng đất Hồi giáo trước đây, người địa phương kể rằng nghề dệt thảm có cội nguồn từ vùng đất Hồi giáo Ba Tư và nếu mua làm quà lưu niệm thì không đâu đẹp bằng Iran. Nét văn hóa từ ngàn xưa ấy được tôn vinh bằng câu chuyện chiếc thảm thần trong Aladin và chiếc đèn thần được phương Tây loan truyền bằng nhiều bộ phim cùng tên. Tôi muốn đến Iran vẫn còn trong giai đoạn tranh tối tranh sáng, không vì những lời khen ngợi can đảm từ bạn bè hay một chút kiêu hãnh trong lòng mà chỉ vì câu nói của người xưa “Vàng son một thuở Ba Tư”. Hai lần đến Iran theo tiếng gọi đam mê khác nhau của những nét văn hóa cổ xưa, tôi mơ ước được sở hữu trong tay chiếc thảm thần để được bay đến Ba Tư nhiều lần hơn nữa. Bởi một lý do rất đơn giản, chiếc vé máy bay và tấm visa để vào Iran đã ngốn một số tiền không nhỏ trong chuyến đi...",80.000 đ,-20%,(0 đánh giá),0
Sách Trong Nước,Văn học,Truyện Trinh Thám - Kiếm Hiệp,Vụ Ám Sát Ông Roger Ackroyd (Tái Bản 2019),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180925.jpg,Vụ Ám Sát Ông Roger Ackroyd (Tái Bản 2019),Agatha Christie,NXB Trẻ,2019,Bìa Mềm,"Ở làng King’s Abbot, vụ tự sát của bà góa Ferrars làm dấy lên đồn đoán rằng bà đã giết chồng, bị tống tiền và có quan hệ mờ ám với ông Roger Ackroyd, một người giàu có trong làng. Tối hôm sau, ông Ackroyd bị giết trong phòng làm việc trước khi phát hiện được ai là kẻ tống tiền người đàn bà góa. Thám tử lừng danh Hercule Poirot ra tay phá án, với sự trợ giúp của bác sĩ James Sheppard.

Xuất bản lần đầu năm 1926, Vụ ám sát ông Roger Ackroyd nhanh chóng trở thành hiện tượng xuất bản và sau này được coi là tác phẩm kinh điển của dòng văn học trinh thám phổ thông, mở ra một kỷ nguyên mới cho văn chương thể loại này",106.250 đ,-15%,(38 đánh giá),0
Sách Trong Nước,Văn học,Huyền Bí - Giả Tưởng - Kinh Dị,Harry Potter Và Bảo Bối Tử Thần - Tập 7 (Tái Bản 2017),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/h/a/harrypottervabaoboituthantap7.jpg,Harry Potter Và Bảo Bối Tử Thần - Tập 7 (Tái Bản 2017),J.K.Rowling,NXB Trẻ,17-Jul,Bìa Mềm,"Harry Potter Và Bảo Bối Tử Thần - Tập 7 (Tái Bản 2017) 
Harry Potter đang chuẩn bị rời khỏi nhà Dursley và đường Privet Drive trong thời khắc cuối cùng. Tuy nhiên, tương lai Harry đầy rẫy hiểm nguy, không chỉ cho cậu mà cả những người gần gũi – và Harry đã mất mát quá nhiều. Chỉ bằng cách tiêu hủy những Trường Sinh Linh Giá, Harry Potter mới có thể tự cứu mình và vượt qua những thế lực đen tối của Chúa tể hắc ám.
Ở phần kết đầy kịch tính của loạt truyện Harry Potter này, Harry phải để những người bạn trung thành nhất ở lại tuyến sau để dấn thân vào cuộc hành trình nguy hiểm cuối cùng hòng tìm kiếm sức mạnh và đối mặt với số phận đáng sợ của cậu: một cuộc chiến sinh tử và đơn độc.
 ‘Điều hay nhất ở cuốn sách này là cuối cùng nó cũng trả lời các câu hỏi mà chúng ta khao khát được biết.’ - Daily Mirror",222.950 đ,-9%,(48 đánh giá),0
Sách Trong Nước,Văn học,Du Ký,Ta Ba Lô Trên Đất Á (Tái Bản 2018),https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/t/a/ta_ba_lo_tren_dat_a-02.jpg,Ta Ba Lô Trên Đất Á (Tái Bản 2018),Rosie Nguyễn,NXB Hội Nhà Văn,2018,Bìa Mềm,"Quyển sách đầu tiên của Rosie Nguyễn, nay trở lại với một diện mạo mới và một quốc gia mới mà trước đây tác giả chưa có dịp nhắc đến. Ta ba lô trên đất Á không chỉ là cẩm nang du lịch bụi dành cho những ai yêu thích khám phá Đông Nam Á, mà còn là dấu ấn rất riêng của Rosie Nguyễn khi một mình đeo ba lô, tay cầm bản đồ ngược xuôi khắp các nước láng giềng để đi tìm chính mình và theo đuổi đam mê.

“Ta ba lô trên đất Á là quyển du ký của tác giả Việt Nam yêu thích nhất từ trước đến nay của tôi. Sách nhẹ nhàng, tình cảm và chứa đầy cảm xúc của mỗi vùng đất tác giả dạo bước qua. Mỗi trang sách, câu chuyện là một cánh cửa dẫn dắt những trái tim đam mê phiêu lưu vào những chốn vừa lạ vừa quen ở các quốc gia Đông Nam Á cũng như các nước láng giềng của quê hương Việt Nam. Đây chắc chắn còn là quyển sách gối đầu giường cực kỳ hữu ích cho những bạn trẻ đang chập chững những bước chân đầu tiên để bước ra thế giới ngoài kia, để tìm đến những chân trời mới, để thấy thế gian này thật rộng lớn và đẹp đẽ biết bao.”

- Trần Đặng Đăng Khoa (chàng trai đi vòng quanh thế giới bằng xe máy)

“Ta ba lô trên đất Á là ba lô hành trang đầy ắp kiến thức và cảm xúc không thể thiếu để những bạn trẻ Việt trải nghiệm đất Á, rồi vững vàng bản lĩnh để in dấu năm châu.”

- Nhà báo, nhiếp ảnh gia Ngô Trần Hải An (biệt danh “phượt thủ Quỷ Cốc Tử”)",91.800 đ,-15%,(15 đánh giá),0
Sách Trong Nước,Văn học,Tác giả - Tác Phẩm,Tinh Hoa Văn Học Việt Nam - Tắt Đèn,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/8/9/8936049953606.jpg,Tinh Hoa Văn Học Việt Nam - Tắt Đèn,NXB Văn Học,NXB Văn Học,2017,Bìa Mềm,"Nói đến Ngô Tất Tố, người ta không thể không nghĩ đến cái làng quê nghèo Việt Nam thời Pháp thuộc mà tiếng thúc dồn sưu hàng năm đe dọa ;người nông dân nhân như một tai họa khủng khiếp. Tiếng nói văn học của Ngô Tất Tố không chỉ là tiếng kêu cấp cứu đòi cơm áo cho những người nông dân cùng khổ mà còn là tiếng nói đanh thép, dõng dạc khẳng định nhân phẩm cao đẹp của họ trong bùn nhơ của xã hội thực dân phong kiến.
Và ;Tắt Đèn ;- một tác phẩm sâu sắc của Ngô Tất Tố, nói một cách khác thì ;Tắt Đèn ;là một bản cáo trạng đanh thép, kết án nghiêm khắc bọn thống trị áp bức, bóc lột nông dân đến tận xương tủy. Ngòi bút của Ngô Tất Tố đã dũng cảm bóc trần thực trạng đen tối, ngột ngạt của cuộc sống ở nông thôn, Ngô Tất Tố đã vẽ lên bức tranh chân thực về cuộc sống lầm than của những người nghèo khổ làm cho người đọc hết lòng xót thương, căm giận",52.800 đ,-12%,(6 đánh giá),0
Sách Trong Nước,Văn học,Tiểu thuyết,Tìm Em Nơi Anh - Find Me,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_225272.jpg,Tìm Em Nơi Anh - Find Me,André Aciman,NXB Trẻ,2021,Bìa Mềm,"Đây là cuốn tiếp theo sau ""Gọi em bằng tên anh"" (Call me by your name). Những nhân vật gặp lại, và câu chuyện nhiều năm sau, khi họ đều đã lớn tuổi hơn và có những ngã rẽ riêng trong cuộc đời mình.

Tác giả chia sẻ thêm về quyết định viết tiếp câu chuyện: ""Tôi vẫn luôn đau đáu về câu chuyện dang dở trong Gọi em bằng tên anh. Dù là người tạo nên các nhân vật và cuộc đời họ, tôi không thể ngờ rằng chính các nhân vật lại khiến tôi trăn trở về những xao động của tình yêu - điều mà tôi không hay biết cho đến khi hoàn thiện cuốn sách. Bộ phim điện ảnh chuyển thể từ cuốn tiểu thuyết đã giúp tôi nhận ra rằng mình muốn được trở lại với Elio và Oliver và tiếp tục đồng hành với 2 con người ấy"".

Find Me được chia làm bốn phần: Tempo, Cadenza, Capriccio và Da Capo, như một bản nhạc lôi cuốn có nhịp điệu và hơi thở riêng, cùng những đoạn phóng túng ngẫu hứng nói lên tiếng lòng người chơi.

Tempo

Phần đầu tiên được thuật lại bởi lời của Samuel ""Sami"" Perlman, cha của Elio Perlman. Mười năm sau các sự kiện của Call Me By Your Name, Sami Perlman gặp một người phụ nữ trẻ tuổi tên là Miranda khi đi tàu đến Rome. Hai người nhanh chóng trở nên thân thiết và bắt đầu một mối quan hệ lãng mạn. Trong khi ở Rome, cặp đôi đến thăm người cha ốm yếu của Miranda, tham dự một buổi thuyết trình công khai do Sami tổ chức và gặp được Elio.

Cadenza

Phần thứ hai được thuật lại bởi lời của Elio. Năm năm sau, Elio làm giáo viên dạy piano ở Paris. Tại một buổi hòa nhạc, anh gặp một người đàn ông lớn tuổi tên là Michel, và họ bắt đầu một mối quan hệ lãng mạn. Họ đến thăm ngôi nhà thời thơ ấu của Michel ở vùng nông thôn nước Pháp, và kết thúc mối quan hệ vài tuần sau đó bởi cuối cùng, người cũ trong trái tim anh không thể thay thế.

Capriccio

Phần thứ ba được thuật lại bởi lời của Oliver. Vài năm sau, Oliver làm giáo sư tại một trường cao đẳng ở New Hampshire. Anh ấy đã lập gia đình và có con, nhưng trong thâm tâm lại nuôi dưỡng nỗi nhớ về khoảng thời gian anh ấy ở bên Elio khi còn là sinh viên đại học. Anh ấy đoàn tụ với Elio ở Ý, và họ kết nối lại một cách lãng mạn. Mặc dù cha của Elio đã chết, ông vẫn có một đứa con với Miranda, đặt tên theo Oliver - Ollie Nhỏ.

Da Capo

Phần cuối cùng được thuật lại bởi lời của Elio. Elio và Oliver lại ở cùng nhau, cùng nuôi dưỡng Ollie Nhỏ, em trai cùng cha khác mẹ của Elio. Phần kết này diễn ra không lâu sau các sự kiện trong Capriccio.",94.300 đ,-18%,(0 đánh giá),0
Sách Trong Nước,Văn học,Tuổi Teen,Viết Cho Những Điều Bé Nhỏ: Khi Quá Buồn Hãy Tưới Nước Cho Một Cái Cây,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_180559.jpg,Viết Cho Những Điều Bé Nhỏ: Khi Quá Buồn Hãy Tưới Nước Cho Một Cái Cây,Trương Huỳnh Như Trân,NXB Kim Đồng,2018,Bìa Mềm,"Hãy cứ nhìn một đứa bé đang tưới nước cho một cái cây, bạn sẽ thấy mọi thứ đơn giản hơn nhiều. Đứa bé ba tuổi biết cẩn thận cầm bình tưới, nghiêng vừa đủ để nước từ từ chảy xuống chậu cây nhỏ bé. Nỗi buồn tuần tự tan đi. Đứa bé sẽ học được bài học mới mẻ đầu đời: nỗi buồn là tất yếu, và cũng sẽ tất yếu tan mau, chỉ cần mình khéo một chút, kiên nhẫn một chút thôi…

Từng chút, từng chút một, mẹ là “người bạn lớn” dạy con những bài học nho nhỏ đầu đời…

Mẹ thủ thỉ rù rì, mẹ ầu ơ ví dầu, mẹ mang cho tuổi thơ con hôm nay nơi phố thị đủ đầy tình yêu đất đồng xứ sở và niềm vui thơ ngây với cỏ cây, mưa nắng… Tuổi thơ mẹ, tuổi thơ con kết nối bằng sợi dây mẫu tử thiêng liêng và kì diệu, bằng dây bầu dây bí trên ban công nhà phố và những thức quà ấu thơ…",25.200 đ,-10%,(1 đánh giá),0
Sách Trong Nước,Văn học,Ngôn Tình,Husky Và Sư Tôn Mèo Trắng Của Hắn - Tập 2 - Tặng Kèm Bookmark,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/b/i/bia-mem_husky-2.jpg,Husky Và Sư Tôn Mèo Trắng Của Hắn - Tập 2 - Tặng Kèm Bookmark,Nhục Bao Bất Cật Nhục,NXB Hà Nội,2021,Bìa Mềm,"Đạp Tiên Quân Mặc Nhiên ngự trị thiên hạ suốt mười năm, khiến Tu Chân giới máu chảy thành sông, đau thương chồng chất. Đến khi nghĩa sĩ khắp nơi tụ họp lại, tấn công lên đỉnh Tử Sinh hòng ép Mặc Nhiên thoái vị, thì trước mắt họ chỉ còn thi thể đã lạnh băng của hắn.
Mặc Nhiên sống lại, trở về thời niên thiếu. Lúc ấy hắn vẫn đang cùng đường đệ Tiết Mông và Sư Muội - ánh trăng sáng trong lòng hắn kiếp trước - theo vị sư phụ thanh cao lạnh lùng Sở Vãn Ninh tu tập, xuống núi trừ yêu, đi tìm vũ khí. Song Mặc Nhiên dần phát hiện nhiều người cũ chuyện xưa vốn tưởng vậy mà không phải vậy…  
Đôi nét tác giả
Nhục Bao Bất Cật Nhục
Tác giả của trang mạng văn học Tấn Giang.
Tác phẩm tiêu biểu: Husky và sư tôn mèo trắng của hắn, Vết nhơ…",151.050 đ,-5%,(0 đánh giá),0
Sách Trong Nước,Văn học,Tiểu thuyết,Trường Ca Achilles,https://cdn0.fahasa.com/media/catalog/product/cache/1/small_image/600x600/9df78eab33525d08d6e5fb8d27136e95/i/m/image_195509_1_41170.jpg,Trường Ca Achilles,Madeline Miller,NXB Kim Đồng,2020,Bìa Mềm,"HUYỀN THOẠI BẮT ĐẦU…

Hy Lạp vào thời hoàng kim của các anh hùng. Patroclus là một hoàng tử trẻ vụng về, bị trục xuất tới vương quốc Phthia và được nuôi dạy dưới sự che chở của vua Peleus cùng cậu con trai hoàng kim của ngài, Achilles. “Người Hy Lạp vĩ đại nhất” – mạnh mẽ, đẹp đẽ, và mang nửa dòng máu của một nữ thần – Achilles là tất cả những gì mà Patroclus không bao giờ có được. Nhưng bất chấp sự khác biệt giữa họ, hai cậu bé trở thành chiến hữu trung thành của nhau. Tình cảm giữa họ càng đậm sâu khi cả hai lớn lên thành những chàng trai trẻ, thành thạo trong kĩ nghệ chiến đấu và y dược.

Khi tin tức truyền tới rằng nàng Helen xứ Sparta đã bị bắt cóc, những chiến binh Hy Lạp, bị trói buộc bởi lời thề máu, phải nhân danh nàng mà vây hãm thành Troy. Bị cám dỗ bởi lời hứa hẹn về một số mệnh huy hoàng, Achilles tham gia hàng ngũ của họ. Bị giằng xé giữa tình yêu và nỗi lo sợ dành cho người bạn của mình, Patroclus ra trận theo Achilles. Họ không hay biết rằng các nữ thần Số Phận sẽ thử thách cả hai người họ hơn bao giờ hết và đòi hỏi một sự hi sinh khủng khiếp.

Dựa trên nền tảng của sử thi Iliad, câu chuyện về cuộc chiến thành Troy vĩ đại đã được Madeline Miller kể lại với tiết tấu dồn dập, lôi cuốn, và không kém phần xúc động, đánh dấu sự khởi đầu của một sự nghiệp rực rỡ.

Trường Ca Achilles đã đoạt giải Orange năm 2012 và luôn nằm trong top các sách bán chạy của tờ New York Times.

Sách được tặng kèm bookmark cùng cuốn phụ lục bao gồm danh sách nhân vật và bài phỏng vấn tác giả.

---

Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng.",148.200 đ,-5%,(35 đánh giá),29467
